contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,ExpiryDate
AAPL240517C00195000,2024-05-07 17:55:32+00:00,195.0,0.12,0.11,0.12,-0.020000003,-16.666668,3020.0,31676,0.22022264160156246,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00200000,2024-05-07 18:03:04+00:00,200.0,0.06,0.05,0.06,-0.02,-25.0,3952.0,39677,0.25586681640625003,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00205000,2024-05-07 17:58:55+00:00,205.0,0.03,0.03,0.04,-0.020000001,-40.000004,480.0,8750,0.29688203124999996,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00210000,2024-05-07 17:10:34+00:00,210.0,0.03,0.02,0.03,0.0,0.0,297.0,10878,0.335944140625,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00215000,2024-05-07 17:54:08+00:00,215.0,0.01,0.01,0.02,-0.01,-50.0,25.0,6822,0.367193828125,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00220000,2024-05-07 15:49:12+00:00,220.0,0.01,0.0,0.02,-0.01,-50.0,35.0,32119,0.414068359375,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00225000,2024-05-07 14:35:39+00:00,225.0,0.01,0.0,0.02,0.0,0.0,56.0,2896,0.45703667968750006,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00230000,2024-05-07 17:33:42+00:00,230.0,0.01,0.0,0.01,0.0,0.0,2.0,1503,0.4687553125,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00235000,2024-05-06 17:29:04+00:00,235.0,0.01,0.0,0.01,0.0,0.0,3.0,638,0.500005,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00240000,2024-05-03 19:53:48+00:00,240.0,0.01,0.0,0.01,0.0,0.0,293.0,1447,0.51562984375,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00245000,2024-05-03 18:41:47+00:00,245.0,0.01,0.0,0.01,0.0,0.0,76.0,1663,0.5468795312500001,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00250000,2024-05-03 13:33:32+00:00,250.0,0.01,0.0,0.01,0.0,0.0,5.0,1464,0.57812921875,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00255000,2024-05-02 19:55:01+00:00,255.0,0.01,0.0,0.01,0.0,0.0,1.0,1850,0.6093789062500001,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00260000,2024-05-06 13:30:19+00:00,260.0,0.01,0.0,0.01,0.0,0.0,3.0,1241,0.64062859375,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00265000,2024-04-29 13:30:19+00:00,265.0,0.02,0.0,0.01,0.0,0.0,2.0,1396,0.6718782812500002,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00270000,2024-03-27 16:17:47+00:00,270.0,0.02,0.0,0.02,0.0,0.0,51.0,1175,0.7500025,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00275000,2024-03-19 14:59:33+00:00,275.0,0.02,0.0,0.02,0.0,0.0,12.0,1509,0.7812521875,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00280000,2024-03-01 17:35:01+00:00,280.0,0.03,0.0,0.03,0.0,0.0,2.0,692,0.8359391406249999,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00285000,2024-03-08 19:09:43+00:00,285.0,0.02,0.0,0.03,0.0,0.0,30.0,96,0.867188828125,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00290000,2024-05-06 16:51:16+00:00,290.0,0.01,0.0,0.01,0.0,0.0,24.0,93,0.8125018749999999,False,REGULAR,USD,Call,2024-05-17
